Reference,Value,Footprint,Manufacturer,MPN,LCSC,Quantity,Parameters,Catalog_URL
RF8,100k,R:0402,UNI-ROYAL,0402WGF1003TCE,C25741,1,RES 100kΩ ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C25741.html
RF9,100k,R:0402,UNI-ROYAL,0402WGF1003TCE,C25741,1,RES 100kΩ ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C25741.html
U1,TLC59283RGER,IC:VQFN-24,Texas Instruments,TLC59283RGER,C485815,1,"16-Channel, Constant-Current LED Driver with Pre-Charge FET",https://www.lcsc.com/product-detail/C485815.html
U10,LSM6DS3TR-C,IC:LGA-14,STMicroelectronics,LSM6DS3TR-C,C967633,1,3D accelerometer and 3D gyroscope,https://www.lcsc.com/product-detail/C967633.html
U11,"PESD3V3L2BT,215",IC:SOT-23,Nexperia,"PESD3V3L2BT,215",C55440,1,ESD DIODE 3.3VWM 26VC SOT-23,https://www.lcsc.com/product-detail/C55440.html
U12,SN74LVC1G123DCTR,IC:SSOP-8,Texas Instruments,SN74LVC1G123DCTR,C123302,1,Single Retriggerable Monostable Multivibrator With Schmitt-Trigger Inputs,https://www.lcsc.com/product-detail/C123302.html
U13,SN74LVC1G04DBVR,IC:SOT-23-5,Texas Instruments,SN74LVC1G04DBVR,C7827,1,Single Inverter Gate,https://www.lcsc.com/product-detail/C7827.html
U14,TPS259470ARPWR,IC:VQFN-10-HR,Texas Instruments,TPS259470ARPWR,C3662799,1,IC SURGE STOPPER 2.7V~23V QFN-10(2x2),https://www.lcsc.com/product-detail/C3662799.html
U16,TLV9062IDGKR,IC:VSSOP-8_3x3mm_P0.65mm,Texas Instruments,TLV9062IDGKR,C398356,1,"10-MHz, RRIO, CMOS Operational Amplifiers for Cost-Sensitive Systems",https://www.lcsc.com/product-detail/C398356.html
U18,TPS2553DRVR,IC:TPS2553_DRV0006,Texas Instruments,TPS2553DRVR,C138719,1,Precision Adjustable Current-Limited Power-Distribution Switches,https://www.lcsc.com/product-detail/C138719.html
U19,TPS3702CX33DDCR,IC:TPS3702_DDC0006,Texas Instruments,TPS3702CX33DDCR,C2068031,1,TPS3702 High-Precision Overvoltage and Undervoltage Monitor,https://www.lcsc.com/product-detail/C2068031.html
U2,TLV9064IPWR,IC:TSSOP-14,Texas Instruments,TLV9064IPWR,C779410,1,"10MHz, RRIO, CMOS operational amplifier suitable for cost-sensitive systems",https://www.lcsc.com/product-detail/C779410.html
U3,TLV9064IPWR,IC:TSSOP-14,Texas Instruments,TLV9064IPWR,C779410,1,"10MHz, RRIO, CMOS operational amplifier suitable for cost-sensitive systems",https://www.lcsc.com/product-detail/C779410.html
U4,TLV9064IPWR,IC:TSSOP-14,Texas Instruments,TLV9064IPWR,C779410,1,"10MHz, RRIO, CMOS operational amplifier suitable for cost-sensitive systems",https://www.lcsc.com/product-detail/C779410.html
U5,TLV9064IPWR,IC:TSSOP-14,Texas Instruments,TLV9064IPWR,C779410,1,"10MHz, RRIO, CMOS operational amplifier suitable for cost-sensitive systems",https://www.lcsc.com/product-detail/C779410.html
U6,TLV9061IDBVR,IC:SOT-23-5,Texas Instruments,TLV9061IDBVR,C398358,1,"10-MHz, RRIO, CMOS Operational Amplifiers for Cost-Sensitive Systems",https://www.lcsc.com/product-detail/C398358.html
U7,TMUX1308PWR,IC:TSSOP-16,Texas Instruments,TMUX1308PWR,C970231,1,TMUX13xx 5V Bidirectional 8:1 Single-Channel and 4:1 Dual-Channel Multiplexer with Injection Current Control,https://www.lcsc.com/product-detail/C970231.html
U8,TMUX1308PWR,IC:TSSOP-16,Texas Instruments,TMUX1308PWR,C970231,1,TMUX13xx 5V Bidirectional 8:1 Single-Channel and 4:1 Dual-Channel Multiplexer with Injection Current Control,https://www.lcsc.com/product-detail/C970231.html
U9,STM32F302CCT6,IC:LQFP-48,STMicroelectronics,STM32F302CCT6,C262946,1,"Arm-based Cortex-M4 32b MCU+FPU, up to 256KB Flash+40KB SRAM, 2 ADCs, 1 DAC ch., 4 comp, 2 PGA, timers, 2.0-3.6 V",https://www.lcsc.com/product-detail/C262946.html
